Category: All categories

Region,guns: (2017)
New Mexico,100
West Virginia,98
Idaho,98
Arizona,94
Kentucky,91
Indiana,90
Utah,87
Wyoming,84
Arkansas,82
Montana,82
Missouri,82
Alaska,81
Nebraska,79
Iowa,78
Nevada,77
Oklahoma,77
Tennessee,76
North Dakota,75
Mississippi,73
New Hampshire,72
Pennsylvania,70
North Carolina,69
Colorado,69
Wisconsin,69
Texas,67
Michigan,67
Ohio,67
Minnesota,66
Louisiana,66
Maine,65
Illinois,64
Alabama,64
Kansas,64
Washington,64
South Dakota,63
Vermont,63
Oregon,62
Virginia,60
Georgia,58
Connecticut,57
Florida,57
South Carolina,56
District of Columbia,52
California,52
Maryland,50
Rhode Island,49
New York,48
Delaware,48
Massachusetts,47
New Jersey,46
Hawaii,44
