Category: All categories

Region,guns: (2008)
Wyoming,100
Alaska,95
Idaho,82
South Dakota,81
Utah,79
Tennessee,79
Montana,79
Arkansas,75
Kentucky,74
West Virginia,74
North Dakota,72
Missouri,71
New Mexico,71
Arizona,70
Mississippi,67
Maine,67
Indiana,66
Nebraska,66
Kansas,66
Oklahoma,66
Louisiana,65
North Carolina,65
Ohio,64
Colorado,64
Florida,64
South Carolina,64
Pennsylvania,64
New Hampshire,63
Nevada,63
Texas,63
Alabama,63
Washington,62
Georgia,61
Michigan,61
Iowa,60
Rhode Island,59
Wisconsin,59
Oregon,59
Connecticut,58
Vermont,56
New Jersey,55
Minnesota,54
District of Columbia,53
Maryland,52
Illinois,52
Hawaii,51
California,50
Virginia,49
Delaware,49
Massachusetts,48
New York,47
