Category: All categories

Region,guns: (2016)
Arizona,100
Idaho,94
West Virginia,93
Kentucky,91
Missouri,89
New Mexico,89
Indiana,89
Nevada,86
Utah,85
Tennessee,80
Montana,80
Wyoming,80
Alaska,78
Oklahoma,76
Louisiana,75
Mississippi,74
North Dakota,74
Kansas,73
Iowa,73
New Hampshire,72
Nebraska,72
Illinois,71
Arkansas,71
Pennsylvania,70
Alabama,70
Wisconsin,69
Michigan,69
Texas,68
Ohio,68
North Carolina,67
Maine,67
Vermont,66
Washington,66
Georgia,66
South Dakota,65
Colorado,65
Oregon,64
South Carolina,64
Rhode Island,63
Minnesota,62
Virginia,61
Florida,60
California,60
Connecticut,59
Massachusetts,57
District of Columbia,55
Maryland,51
New Jersey,50
Delaware,50
New York,50
Hawaii,45
