Category: All categories

Region,guns: (2014)
Wyoming,100
Alaska,94
Utah,92
Kentucky,92
Indiana,89
Idaho,89
West Virginia,87
Arkansas,84
Nevada,83
New Mexico,82
Iowa,81
Oklahoma,79
Arizona,78
Missouri,78
North Dakota,78
Montana,77
Tennessee,76
Nebraska,76
Louisiana,74
Mississippi,73
South Dakota,72
Ohio,72
Maine,71
Wisconsin,70
Colorado,70
New Hampshire,69
South Carolina,68
Alabama,67
Texas,67
Michigan,67
Washington,67
Kansas,66
North Carolina,65
Pennsylvania,64
Vermont,63
Illinois,63
Minnesota,61
Georgia,60
Florida,58
Delaware,58
California,54
Connecticut,54
Virginia,51
Rhode Island,51
Hawaii,51
Massachusetts,51
Maryland,50
District of Columbia,47
New Jersey,43
Oregon,43
New York,42
