Category: All categories

Region,guns: (2006)
Wyoming,100
Alaska,94
North Dakota,91
South Dakota,85
Idaho,85
West Virginia,83
Montana,80
Nebraska,77
Mississippi,75
Arkansas,74
Maine,73
Utah,73
Nevada,71
Kentucky,70
Oklahoma,69
Kansas,68
Louisiana,68
Arizona,68
Vermont,66
New Mexico,66
Iowa,66
New Hampshire,63
Ohio,63
Michigan,62
North Carolina,61
Alabama,61
Washington,61
Indiana,61
South Carolina,60
Tennessee,60
Florida,59
Pennsylvania,58
Rhode Island,58
Oregon,57
Texas,57
Wisconsin,56
Georgia,56
Minnesota,55
Illinois,55
Virginia,55
Connecticut,54
Colorado,54
New Jersey,54
Hawaii,53
California,52
Missouri,52
New York,50
Delaware,49
Massachusetts,46
Maryland,43
District of Columbia,40
