Category: All categories

Region,ptsd: (2016)
New Mexico,100
Maine,94
Vermont,94
Montana,87
Alaska,82
New Hampshire,81
North Carolina,75
West Virginia,75
Idaho,74
Arkansas,72
North Dakota,72
Washington,71
Hawaii,71
Rhode Island,70
Oklahoma,70
Connecticut,69
Virginia,69
Wyoming,68
Oregon,68
Delaware,67
Colorado,67
Massachusetts,66
Pennsylvania,66
South Carolina,64
Utah,64
Kentucky,64
Kansas,63
Iowa,63
South Dakota,63
Georgia,62
Alabama,61
Arizona,61
Nebraska,61
Minnesota,61
Ohio,61
Missouri,61
Mississippi,59
Nevada,59
California,58
Wisconsin,57
District of Columbia,57
Tennessee,57
Maryland,56
Michigan,56
New Jersey,56
Texas,56
Florida,56
Louisiana,55
Illinois,55
Indiana,54
New York,54
