Category: All categories

Region,ptsd: (2008)
Vermont,100
New Mexico,96
West Virginia,84
New Hampshire,81
Maine,78
Wyoming,76
Oregon,71
Montana,71
Missouri,68
Hawaii,66
Massachusetts,66
Alaska,61
Colorado,60
South Dakota,60
Washington,59
Maryland,59
North Carolina,58
Connecticut,57
District of Columbia,57
Kentucky,56
Oklahoma,54
Rhode Island,53
Kansas,53
Minnesota,52
Tennessee,52
Arkansas,51
South Carolina,50
Pennsylvania,49
Indiana,48
Arizona,48
Utah,48
Texas,47
Iowa,47
Alabama,46
Nebraska,45
Virginia,43
Mississippi,43
Wisconsin,42
Ohio,42
Idaho,41
New York,41
Delaware,39
Michigan,39
Georgia,38
Nevada,38
New Jersey,37
California,37
Illinois,36
Florida,36
Louisiana,35
North Dakota,30
