Category: All categories

Region,ptsd: (2007)
New Mexico,100
Vermont,98
New Hampshire,68
Montana,66
Oregon,64
Maine,62
Missouri,60
Hawaii,60
South Dakota,57
Alaska,56
Kentucky,54
Wyoming,51
Virginia,50
Massachusetts,50
District of Columbia,49
Idaho,49
Oklahoma,47
West Virginia,46
Colorado,46
Washington,45
South Carolina,45
Wisconsin,44
Maryland,44
North Carolina,42
Rhode Island,41
Minnesota,41
Connecticut,40
Utah,40
Kansas,40
Arizona,38
Pennsylvania,37
North Dakota,37
Texas,37
Ohio,36
Louisiana,36
Tennessee,35
New York,34
Mississippi,34
Nebraska,33
California,33
Michigan,33
Florida,33
Illinois,33
Indiana,32
Arkansas,32
Iowa,31
Delaware,31
Nevada,30
New Jersey,29
Georgia,28
Alabama,27
