Category: All categories

Region,ptsd: (2009)
New Mexico,100
Vermont,82
Oregon,78
Montana,71
New Hampshire,70
Alaska,68
Missouri,68
North Dakota,68
Rhode Island,67
South Dakota,67
Wyoming,67
Maine,67
Maryland,62
South Carolina,62
Colorado,60
Idaho,59
Hawaii,58
Wisconsin,57
Tennessee,57
Arizona,56
Massachusetts,55
Kentucky,55
Washington,55
Connecticut,54
Kansas,54
West Virginia,53
Delaware,53
District of Columbia,53
Minnesota,52
Arkansas,52
Oklahoma,51
North Carolina,51
Mississippi,50
Alabama,49
Utah,48
Ohio,46
Pennsylvania,46
Louisiana,46
Iowa,46
Texas,45
Nevada,45
Nebraska,45
Michigan,44
New York,42
Indiana,42
Georgia,41
Florida,40
New Jersey,38
Illinois,38
California,31
Virginia,29
