Category: All categories

Region,ptsd: (2013)
Alaska,100
Maine,96
New Mexico,94
Vermont,80
Montana,79
New Hampshire,78
West Virginia,76
Rhode Island,74
South Dakota,69
Arkansas,68
Idaho,68
Hawaii,67
Washington,66
South Carolina,66
District of Columbia,65
Connecticut,62
Delaware,62
Kansas,61
Tennessee,60
Oklahoma,59
Nebraska,59
North Dakota,59
North Carolina,58
Colorado,58
Arizona,58
Massachusetts,57
Mississippi,57
Virginia,56
Utah,55
Iowa,55
Wisconsin,54
Maryland,54
Indiana,54
Kentucky,54
Wyoming,54
California,54
Missouri,53
Minnesota,53
Alabama,51
Pennsylvania,50
Louisiana,49
Nevada,48
Texas,48
New York,47
Florida,47
Oregon,47
Ohio,46
Michigan,46
Georgia,43
Illinois,43
New Jersey,42
