Category: All categories

Region,ptsd: (2015)
Vermont,100
Maine,94
New Mexico,92
Alaska,91
New Hampshire,85
Montana,84
South Dakota,80
Idaho,79
West Virginia,78
Arkansas,72
Connecticut,71
Wyoming,70
North Dakota,67
Rhode Island,66
Hawaii,66
South Carolina,64
Colorado,64
Massachusetts,64
Pennsylvania,64
Iowa,63
Mississippi,63
Kentucky,63
Utah,62
North Carolina,62
Alabama,62
Washington,61
Arizona,61
Oklahoma,61
Indiana,61
Maryland,60
Missouri,60
Wisconsin,59
Louisiana,59
Nebraska,58
Tennessee,58
Delaware,58
Illinois,57
Nevada,56
Georgia,56
Oregon,55
California,55
Kansas,55
Ohio,55
Michigan,54
Minnesota,54
Florida,53
Texas,52
District of Columbia,52
New Jersey,48
New York,47
Virginia,39
