null_mse_improvement,null_mae_improvement
-1.3231782989211454,-0.8096951694861247
-0.8967619249047374,-0.5994336826775288
-0.8039669590803988,-0.7285296986248435
-1.2825996277579106,-0.8035911227365611
-1.1120021819941983,-0.6803285600867731
-0.7614581915689016,-0.5505283461343519
-1.2140334348241362,-0.6872199544170485
-0.7589245030676958,-0.4441126652465268
-0.9420857407837693,-0.6419835814762024
-1.2244168133834032,-0.6294136845967463
-1.0693997877017272,-0.6044194938685455
-1.1359722042432008,-0.6308967565807019
-1.519882400313932,-1.101914410568231
-1.1409277315772697,-0.7166973286187018
-1.2569984041796651,-0.7400810569804789
-0.9174255736894069,-0.5140919948119612
-0.6221874311809716,-0.5926800993217521
-1.0359990048032381,-0.6588975766453538
-0.9009784092361637,-0.49013517872627066
-1.013775274072748,-0.6714893874152313
-1.1176286872858787,-0.6364331764839046
-1.1526971109851856,-0.7194870351467292
-0.9775018314756622,-0.5927222768805472
-1.076792420417952,-0.6880463382174239
-0.9206440086864701,-0.5320206582261259
-0.9421547994853132,-0.5351184386383911
-0.8745414839162503,-0.7596967478050413
-1.004672048871018,-0.5448137053242643
-1.188668397360893,-0.6297379965771386
-0.9466756649297589,-0.5158504717552057
-0.748994316542731,-0.5269196473558454
-1.076918177323319,-0.5720787716421656
-1.2115558661199581,-0.6989381670262445
-1.2009188602788825,-0.7279578355906714
-0.8124416726832094,-0.524301693652147
-0.8456631223184672,-0.7093726312172731
-0.6684126110645197,-0.35277049051907106
-0.6582407224664598,-0.6458324116645675
-1.187480754817847,-0.6653573564329686
-0.8681243614660871,-0.5501942086196139
-0.9571398287735522,-0.6474225805753836
-0.8067151057221618,-0.5052246707307402
-1.165917617295055,-0.7734786143572653
-0.9436247819281569,-0.5404121200958063
-1.1433107590435625,-0.7040064658944265
-1.0283260834045602,-0.5714220352388331
-0.9230502516237716,-0.6190218234026212
-1.3337565628697476,-0.7454077359932293
-2.2620386203764133,-1.487470213978014
-1.1701444215802506,-0.6946220532097597
-1.0039440879209502,-0.627184721949072
-1.2355648328752673,-0.7353302473528913
-1.1773405503892163,-0.7035859581695668
-0.9327875742324372,-0.6993187524073532
-0.9011190945840387,-0.7105572337845686
-1.1511331633631607,-0.6224914269919964
-1.1701979188535683,-0.6170824966960406
-0.9054813659340829,-0.8044546909754351
-1.1673144169411933,-0.6900831769778102
-0.9063627145579624,-0.6038310397087197
-1.11281749211521,-0.7087419439454153
-1.216546588141154,-0.6032304175764793
-0.8831118666003023,-0.6695563507150836
-1.0169248687113874,-0.5666710319469038
-1.0528096202491033,-0.8296555136827511
-0.9922998001386606,-0.519107788802315
-0.9911431950861692,-0.5732076812750808
-0.9380220787893524,-0.5569149808402432
-0.8842080709589744,-0.4872064048045773
-0.7898446459103158,-0.5448690993282119
-1.1301132312564797,-0.631169169489216
-1.1621217229992828,-0.6837633592127295
-1.2186985361736542,-0.7336015068629833
-1.1931333624989344,-0.6707589763730832
-1.0571342407357867,-0.6396127707621596
-1.0269803578132894,-0.642447637165066
-1.416005934093401,-0.8791341429280184
-1.2149923665242428,-0.7223779390701198
-0.9946898158972269,-0.5895837209674463
-1.0454578624074535,-0.6057362480616759
-1.37250050792993,-0.759306610880116
-0.9477091522961998,-0.5899277525576689
-1.1965682909090636,-0.7325236392493933
-1.0219306907744583,-0.5706814248913581
-1.0782496537175474,-0.6372100817463048
-1.3577792947170393,-0.834120523851909
-0.9147987215524083,-0.5804006089055438
-1.0113365740686624,-0.581748457061264
-0.9844480780664109,-0.5461517357073477
-1.0572011804371362,-0.6806398109936626
-0.6116171079108906,-0.5052758946820468
-1.090826170863619,-0.5823718182932743
-0.6848995396189056,-0.7285064960303134
-0.9316533281977291,-0.6382828127597422
-0.9101365590961253,-0.6148476440246937
-0.7999189618057637,-0.7219692005950948
-1.1437390599723394,-0.6997345674484926
-1.006683259850334,-0.6052221714387359
-0.8997425361928967,-0.5275522409405379
-1.229560039056213,-0.7008505882182298
