Category: All categories

Region,Borderline personality: (2015)
Maine,100
Vermont,99
New Hampshire,96
Minnesota,84
Wyoming,82
Massachusetts,81
Connecticut,81
Indiana,77
Idaho,76
Montana,75
Utah,74
Washington,73
West Virginia,73
South Dakota,72
Delaware,71
Michigan,71
Kentucky,70
Missouri,70
Pennsylvania,68
Colorado,67
New York,66
Wisconsin,66
South Carolina,66
Arizona,66
Ohio,66
Iowa,65
New Jersey,65
Arkansas,65
Rhode Island,64
Louisiana,63
New Mexico,63
District of Columbia,62
North Carolina,62
Oklahoma,61
Alaska,61
Tennessee,61
Alabama,60
Nebraska,60
Maryland,60
Oregon,59
Mississippi,59
North Dakota,56
Hawaii,56
Nevada,53
Illinois,53
Kansas,52
California,51
Georgia,51
Florida,50
Texas,42
Virginia,41
