Category: All categories

Region,Borderline personality: (2019)
New Hampshire,100
Maine,95
Vermont,86
Utah,85
South Dakota,83
Oregon,82
Idaho,82
Rhode Island,80
Montana,80
Minnesota,78
Connecticut,76
West Virginia,73
Kansas,73
Alaska,72
Missouri,71
Indiana,70
New York,70
Wyoming,70
Massachusetts,70
Wisconsin,68
Washington,68
Delaware,67
Colorado,66
Michigan,66
Iowa,66
North Dakota,65
Oklahoma,63
Kentucky,63
Maryland,63
Nebraska,63
Arizona,62
Arkansas,62
Pennsylvania,61
California,61
Tennessee,58
Ohio,58
New Mexico,58
Alabama,58
District of Columbia,57
Illinois,55
Virginia,54
New Jersey,53
North Carolina,53
Mississippi,52
Nevada,52
South Carolina,51
Louisiana,51
Florida,50
Texas,48
Georgia,46
Hawaii,46
