Category: All categories

Region,Borderline personality: (2009)
Maine,100
Montana,93
Idaho,86
New Hampshire,85
Delaware,82
Rhode Island,81
Vermont,79
New Mexico,75
Minnesota,74
Massachusetts,73
Connecticut,73
Indiana,71
Kentucky,69
Oregon,68
Utah,68
North Carolina,67
Colorado,65
Pennsylvania,64
Washington,64
Iowa,63
New York,63
South Dakota,62
Maryland,61
South Carolina,60
West Virginia,59
Michigan,58
Missouri,57
Kansas,57
Alaska,57
Louisiana,57
Ohio,56
Arizona,56
New Jersey,56
Alabama,55
Tennessee,55
District of Columbia,54
Illinois,52
Arkansas,52
Nebraska,52
Georgia,51
Oklahoma,50
Nevada,50
Mississippi,50
Wisconsin,47
Florida,47
Texas,46
Wyoming,45
California,38
Hawaii,35
Virginia,31
North Dakota,28
