Category: All categories

Region,self-injury: (2016)
Delaware,
North Dakota,
Wyoming,
Nebraska,
Maine,
Oklahoma,
Montana,
Hawaii,
New Hampshire,
Iowa,
Kansas,
New Mexico,
Louisiana,
Connecticut,
Indiana,
Kentucky,
Virginia,100
Colorado,
Ohio,
Washington,
New Jersey,
New York,100
Massachusetts,100
Pennsylvania,100
Tennessee,
North Carolina,100
California,100
South Carolina,
Texas,100
Illinois,<1
Arizona,
Florida,<1
Michigan,
Georgia,
Alaska,
Alabama,
Arkansas,
District of Columbia,
Idaho,
Maryland,
Minnesota,
Missouri,
Mississippi,
Nevada,
Oregon,
Rhode Island,
South Dakota,
Utah,
Vermont,
Wisconsin,
West Virginia,
