Category: All categories

Region,self-injury: (2011)
Rhode Island,
Montana,
Arkansas,
Idaho,
Utah,
Connecticut,
New Mexico,
Virginia,100
Mississippi,
Minnesota,
Massachusetts,83
South Carolina,
Wisconsin,
Illinois,66
Ohio,
Missouri,
Alabama,
Louisiana,
North Carolina,50
Michigan,
Maryland,
New Jersey,
Pennsylvania,50
Tennessee,
Colorado,
Kentucky,
New York,33
Florida,33
Georgia,
Indiana,
Washington,
California,16
Texas,16
Alaska,
Arizona,
District of Columbia,
Delaware,
Hawaii,
Iowa,
Kansas,
Maine,
North Dakota,
Nebraska,
New Hampshire,
Nevada,
Oklahoma,
Oregon,
South Dakota,
Vermont,
West Virginia,
Wyoming,
