Category: All categories

Region,self-injury: (2018)
Vermont,
Maine,
Nevada,
Mississippi,
Wisconsin,
Massachusetts,100
Maryland,
New Jersey,
Virginia,50
Minnesota,
Oregon,
New York,50
Pennsylvania,50
Connecticut,
Louisiana,
Indiana,
Michigan,
Florida,50
Ohio,
California,<1
Arizona,
Georgia,
Illinois,<1
Texas,<1
Alaska,
Alabama,
Arkansas,
Colorado,
District of Columbia,
Delaware,
Hawaii,
Iowa,
Idaho,
Kansas,
Kentucky,
Missouri,
Montana,
North Carolina,
North Dakota,
Nebraska,
New Hampshire,
New Mexico,
Oklahoma,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Utah,
Washington,
West Virginia,
Wyoming,
