Category: All categories

Region,self-injury: (2014)
Wisconsin,
Connecticut,
Arkansas,
District of Columbia,
Kentucky,
Alabama,
South Carolina,
Pennsylvania,100
New Jersey,
Arizona,
Louisiana,
Minnesota,
Massachusetts,100
Ohio,
Maryland,
Tennessee,
New York,50
Illinois,50
California,50
Texas,50
Washington,
Missouri,
Virginia,<1
Florida,<1
Georgia,
North Carolina,<1
Alaska,
Colorado,
Delaware,
Hawaii,
Iowa,
Idaho,
Indiana,
Kansas,
Maine,
Michigan,
Mississippi,
Montana,
North Dakota,
Nebraska,
New Hampshire,
New Mexico,
Nevada,
Oklahoma,
Oregon,
Rhode Island,
South Dakota,
Utah,
Vermont,
West Virginia,
Wyoming,
