Category: All categories

Region,self-injury: (2017)
Hawaii,
Idaho,
West Virginia,
Maine,
Arkansas,
South Carolina,
Kentucky,
Colorado,
Michigan,
Maryland,
New Mexico,
Pennsylvania,100
Missouri,
Iowa,
Kansas,
Alabama,
Minnesota,
Utah,
Nevada,
New Jersey,
Georgia,
Wisconsin,
Virginia,50
Illinois,50
New York,<1
North Carolina,<1
Florida,<1
California,<1
Massachusetts,<1
Texas,<1
Alaska,
Arizona,
Connecticut,
District of Columbia,
Delaware,
Indiana,
Louisiana,
Mississippi,
Montana,
North Dakota,
Nebraska,
New Hampshire,
Ohio,
Oklahoma,
Oregon,
Rhode Island,
South Dakota,
Tennessee,
Vermont,
Washington,
Wyoming,
