Category: All categories

Region,self-injury: (2005)
Maine,
South Dakota,
Alaska,
Vermont,
Idaho,
West Virginia,
Louisiana,
Connecticut,
Arkansas,
Wisconsin,
Utah,
Nebraska,
Alabama,
Ohio,
Illinois,100
Indiana,
District of Columbia,
Minnesota,
New Jersey,
Pennsylvania,67
Texas,64
New York,57
Georgia,
Oregon,
North Carolina,53
Michigan,
Tennessee,
Washington,
Virginia,35
California,25
Massachusetts,17
Arizona,
Colorado,
Delaware,
Florida,
Hawaii,
Iowa,
Kansas,
Kentucky,
Maryland,
Missouri,
Mississippi,
Montana,
North Dakota,
New Hampshire,
New Mexico,
Nevada,
Oklahoma,
Rhode Island,
South Carolina,
Wyoming,
