Category: All categories

Region,self-injury: (2008)
Wyoming,
Maine,
West Virginia,
Vermont,
Rhode Island,
Oklahoma,
Oregon,
Kentucky,
Missouri,
Indiana,
Michigan,
Pennsylvania,100
South Carolina,
Nevada,
Wisconsin,
Connecticut,
Illinois,80
Minnesota,
New York,60
Tennessee,
Ohio,
Washington,
Arizona,
Colorado,
North Carolina,40
Georgia,
District of Columbia,
California,40
Texas,40
Massachusetts,30
Virginia,30
Florida,30
Alaska,
Alabama,
Arkansas,
Delaware,
Hawaii,
Iowa,
Idaho,
Kansas,
Louisiana,
Maryland,
Mississippi,
Montana,
North Dakota,
Nebraska,
New Hampshire,
New Jersey,
New Mexico,
South Dakota,
Utah,
