Category: All categories

Region,self-injury: (2006)
Rhode Island,
Nebraska,
Connecticut,
Indiana,
Maine,
Wisconsin,
Minnesota,
South Carolina,
Utah,
Iowa,
Missouri,
Colorado,
Massachusetts,100
Kentucky,
Alabama,
Tennessee,
Pennsylvania,78
Illinois,68
Ohio,
Michigan,
Florida,52
New Jersey,
Texas,36
District of Columbia,
New York,31
California,31
Virginia,26
Alaska,
Arkansas,
Arizona,
Delaware,
Georgia,
Hawaii,
Idaho,
Kansas,
Louisiana,
Maryland,
Mississippi,
Montana,
North Carolina,
North Dakota,
New Hampshire,
New Mexico,
Nevada,
Oklahoma,
Oregon,
South Dakota,
Vermont,
Washington,
West Virginia,
Wyoming,
