Category: All categories

Region,Avoidant personality: (2005)
Hawaii,
New Mexico,
Kentucky,100
Vermont,
Rhode Island,
Mississippi,
Alabama,65
Connecticut,61
Missouri,48
Oregon,44
Louisiana,43
Colorado,33
North Carolina,30
Georgia,30
Michigan,30
New York,29
Minnesota,29
Ohio,29
Pennsylvania,28
California,27
Washington,25
Kansas,25
Massachusetts,23
Virginia,22
Illinois,19
Maryland,18
New Jersey,17
Wisconsin,16
Texas,14
Florida,13
Alaska,
Arkansas,
Arizona,
District of Columbia,
Delaware,
Iowa,
Idaho,
Indiana,
Maine,
Montana,
North Dakota,
Nebraska,
New Hampshire,
Nevada,
Oklahoma,
South Carolina,
South Dakota,
Tennessee,
Utah,
West Virginia,
Wyoming,
