Category: All categories

Region,Avoidant personality: (2015)
Maine,
Vermont,
South Dakota,
Alaska,
New Mexico,
Connecticut,100
West Virginia,96
Iowa,92
Delaware,
North Dakota,
Arkansas,88
Tennessee,85
Montana,
Indiana,81
Wisconsin,77
Minnesota,74
Alabama,74
Idaho,74
North Carolina,70
Massachusetts,70
Rhode Island,
Arizona,70
Nebraska,
Pennsylvania,70
New Hampshire,
Wyoming,
Michigan,66
Illinois,66
Ohio,66
Maryland,66
Kentucky,62
Nevada,62
New York,62
Washington,62
Kansas,62
Hawaii,
California,59
New Jersey,59
Florida,59
Colorado,59
Oregon,59
Georgia,55
Oklahoma,55
South Carolina,55
Louisiana,51
Texas,51
Utah,48
Virginia,48
Missouri,44
District of Columbia,
Mississippi,
