Category: All categories

Region,Avoidant personality: (2017)
Wyoming,
Maine,
West Virginia,100
Vermont,
Montana,
Utah,100
Minnesota,84
Washington,84
Massachusetts,80
Oregon,76
New Mexico,
Connecticut,72
Maryland,72
Pennsylvania,72
New York,68
Michigan,68
Ohio,68
Tennessee,64
New Jersey,64
Colorado,64
Iowa,64
Virginia,60
Arkansas,60
North Carolina,60
Missouri,60
Indiana,60
Kansas,60
South Carolina,60
Florida,56
Georgia,56
Kentucky,56
Illinois,56
North Dakota,
California,52
New Hampshire,
Wisconsin,52
Idaho,52
Alabama,52
Nebraska,
Nevada,52
Mississippi,
Oklahoma,48
Louisiana,48
Arizona,48
Texas,48
Hawaii,
District of Columbia,
Rhode Island,
Alaska,
Delaware,
South Dakota,
