Category: All categories

Region,Avoidant personality: (2019)
Alaska,
Idaho,100
Delaware,
New Hampshire,
New Mexico,
District of Columbia,
South Dakota,
Missouri,70
Oregon,70
Maine,
Utah,66
Massachusetts,66
Washington,62
Connecticut,62
Tennessee,62
Minnesota,62
Kentucky,59
Mississippi,
Virginia,59
Wisconsin,59
Ohio,55
Michigan,55
Arkansas,55
Colorado,55
Alabama,55
Nevada,55
Indiana,55
Pennsylvania,55
New York,55
Montana,
Arizona,51
Maryland,51
California,48
Louisiana,48
Illinois,48
South Carolina,48
North Carolina,44
Rhode Island,
Georgia,44
Florida,44
Kansas,44
Oklahoma,40
Iowa,40
Texas,40
New Jersey,33
North Dakota,
Hawaii,
Nebraska,
West Virginia,14
Vermont,
Wyoming,
