Category: All categories

Region,Avoidant personality: (2014)
Wyoming,
Alaska,
Delaware,
Arkansas,100
Montana,
Utah,92
Idaho,88
Indiana,88
Nebraska,
Alabama,85
Tennessee,85
Nevada,81
Hawaii,
South Carolina,81
New Hampshire,
Washington,77
Minnesota,77
Missouri,74
Ohio,74
North Dakota,
Maryland,74
Michigan,74
West Virginia,70
Maine,
Iowa,70
New York,70
Kentucky,66
Kansas,66
Pennsylvania,66
Vermont,
Wisconsin,66
Massachusetts,66
Arizona,62
Illinois,59
Oregon,59
Louisiana,59
New Jersey,55
Mississippi,
Texas,55
California,55
Colorado,55
District of Columbia,
Georgia,51
North Carolina,51
Florida,51
Virginia,48
New Mexico,
Oklahoma,48
Connecticut,44
Rhode Island,
South Dakota,
