Category: All categories

Region,Avoidant personality: (2016)
Vermont,
Maine,
Oklahoma,100
Rhode Island,
Washington,100
Arkansas,95
North Dakota,
Utah,91
Alaska,
Kansas,86
South Dakota,
Arizona,82
Oregon,82
Minnesota,82
Mississippi,
Maryland,78
New Hampshire,
Colorado,78
Connecticut,78
Louisiana,78
Missouri,78
Massachusetts,73
Virginia,73
Wisconsin,73
Montana,
New Jersey,69
Indiana,69
New Mexico,
Pennsylvania,65
New York,65
Nebraska,
California,60
Illinois,60
Ohio,60
Michigan,60
Idaho,60
South Carolina,60
Kentucky,56
North Carolina,56
Iowa,56
Florida,56
West Virginia,56
Tennessee,52
District of Columbia,
Nevada,52
Alabama,52
Texas,47
Georgia,47
Hawaii,
Delaware,
Wyoming,
