Category: All categories

Region,exboyfriend: (2019)
Alaska,
Wyoming,
Wisconsin,100
Hawaii,
North Dakota,
Massachusetts,75
Nevada,75
South Carolina,75
Connecticut,75
Louisiana,75
Illinois,62
Iowa,62
California,62
Oklahoma,62
Montana,
West Virginia,
Alabama,62
Pennsylvania,62
District of Columbia,62
Indiana,50
Florida,50
New York,50
New Mexico,
Kentucky,
Georgia,50
Texas,50
Arizona,50
Delaware,
North Carolina,37
Oregon,37
Michigan,37
Maryland,37
Ohio,37
New Jersey,37
Missouri,37
Virginia,37
Maine,
Washington,37
Utah,
Minnesota,37
Nebraska,
Colorado,25
Kansas,
Tennessee,12
Arkansas,
Idaho,
Mississippi,
New Hampshire,
Rhode Island,
South Dakota,
Vermont,
