Category: All categories

Region,exboyfriend: (2014)
Arkansas,
New Mexico,
Louisiana,100
Hawaii,
Georgia,91
New York,91
Nevada,91
South Carolina,83
Florida,83
Alaska,
Delaware,
Utah,
Maine,
Massachusetts,75
Virginia,75
California,75
Michigan,75
Texas,75
Illinois,66
New Jersey,66
Pennsylvania,66
Maryland,66
Mississippi,
Oklahoma,58
Rhode Island,
Tennessee,58
Nebraska,
Ohio,58
District of Columbia,58
Connecticut,58
Missouri,58
North Carolina,58
Arizona,50
West Virginia,
Colorado,50
Minnesota,50
Kansas,
Washington,50
Oregon,41
Iowa,41
Wisconsin,41
Kentucky,
Alabama,25
Indiana,25
Idaho,
Montana,
North Dakota,
New Hampshire,
South Dakota,
Vermont,
Wyoming,
