Category: All categories

Region,exboyfriend: (2016)
Nevada,100
New York,100
Louisiana,100
Idaho,
Massachusetts,90
Iowa,90
Rhode Island,
Texas,80
South Carolina,80
Mississippi,
California,80
Florida,80
Vermont,
Arkansas,
New Jersey,80
Georgia,80
Connecticut,80
Illinois,80
Pennsylvania,80
District of Columbia,70
Nebraska,
Ohio,70
Hawaii,
Maryland,70
Kansas,
Virginia,70
New Hampshire,
Minnesota,60
Arizona,60
Michigan,60
Tennessee,60
North Carolina,50
Oklahoma,50
Alabama,50
Washington,50
Kentucky,
Utah,
Wisconsin,50
Oregon,50
Missouri,40
Colorado,40
Indiana,40
New Mexico,
Alaska,
Delaware,
Maine,
Montana,
North Dakota,
South Dakota,
West Virginia,
Wyoming,
