Category: All categories

Region,exboyfriend: (2009)
Wyoming,
Vermont,
South Dakota,
Alaska,
New Mexico,
Louisiana,100
Nevada,86
Utah,
Tennessee,73
District of Columbia,65
Iowa,60
Nebraska,
New York,56
Massachusetts,52
New Jersey,52
Oregon,47
Pennsylvania,47
Oklahoma,47
Maryland,47
Texas,43
Illinois,43
Florida,43
North Carolina,39
Michigan,39
Missouri,39
Georgia,34
Minnesota,34
California,34
Wisconsin,30
Alabama,30
Ohio,30
Connecticut,26
Washington,26
Virginia,26
Arkansas,
Arizona,
Colorado,
Delaware,
Hawaii,
Idaho,
Indiana,
Kansas,
Kentucky,
Maine,
Mississippi,
Montana,
North Dakota,
New Hampshire,
Rhode Island,
South Carolina,
West Virginia,
