Category: All categories

Region,exboyfriend: (2013)
Mississippi,
Nevada,100
Hawaii,
South Carolina,75
North Dakota,
Texas,70
Louisiana,60
Tennessee,60
New York,60
District of Columbia,60
Kansas,
Connecticut,60
Massachusetts,55
Vermont,
Missouri,55
California,55
Idaho,
Maryland,50
Oklahoma,50
Alabama,50
Colorado,50
Florida,50
Georgia,50
Pennsylvania,50
New Jersey,50
Arizona,50
Illinois,45
Montana,
North Carolina,45
Kentucky,
Michigan,45
Ohio,40
Wisconsin,40
Arkansas,
Indiana,40
Maine,
Virginia,35
Minnesota,35
Oregon,35
Washington,35
Iowa,30
West Virginia,
Utah,
Nebraska,
New Hampshire,
Alaska,
Delaware,
New Mexico,
Rhode Island,
South Dakota,
Wyoming,
