Category: All categories

Region,academic stress: (2015)
New Mexico,
Mississippi,
New Hampshire,
Indiana,100
Hawaii,
Massachusetts,
Wisconsin,
Alabama,60
Connecticut,
Ohio,60
Oregon,
Virginia,
California,60
Missouri,
New Jersey,40
Kansas,
Arizona,40
Tennessee,
North Carolina,40
District of Columbia,
Louisiana,20
Texas,20
South Carolina,
Pennsylvania,20
Maryland,
Florida,20
Colorado,
Illinois,20
New York,20
Georgia,20
Michigan,
Alaska,
Arkansas,
Delaware,
Iowa,
Idaho,
Kentucky,
Maine,
Minnesota,
Montana,
North Dakota,
Nebraska,
Nevada,
Oklahoma,
Rhode Island,
South Dakota,
Utah,
Vermont,
Washington,
West Virginia,
Wyoming,
