Category: All categories

Region,academic stress: (2018)
North Dakota,
West Virginia,
South Dakota,
District of Columbia,
Delaware,
New Mexico,
Alabama,100
Arizona,80
Oklahoma,
Louisiana,80
Utah,
Minnesota,60
New Jersey,60
Georgia,60
Michigan,
North Carolina,40
Kentucky,
Missouri,
Colorado,
Connecticut,
Washington,40
Maryland,
Wisconsin,
Ohio,40
Tennessee,
California,40
Virginia,
Illinois,40
South Carolina,
Florida,40
Arkansas,
New York,40
Oregon,
Texas,20
Nevada,
Pennsylvania,20
Indiana,20
Alaska,
Hawaii,
Iowa,
Idaho,
Kansas,
Massachusetts,
Maine,
Mississippi,
Montana,
Nebraska,
New Hampshire,
Rhode Island,
Vermont,
Wyoming,
