Category: All categories

Region,academic stress: (2021)
Iowa,
Vermont,
Hawaii,
Connecticut,
Arizona,100
New Hampshire,
Idaho,
Louisiana,75
Oklahoma,
Nevada,
Alabama,75
California,50
Indiana,50
Kentucky,
Missouri,
New Jersey,50
Massachusetts,
Ohio,50
Illinois,50
Texas,50
Pennsylvania,50
Utah,
Maryland,
Mississippi,
Michigan,
Florida,25
Kansas,
New York,25
Georgia,25
Wisconsin,
Virginia,
Washington,25
Minnesota,25
South Carolina,
North Carolina,25
Colorado,
Tennessee,
Alaska,
Arkansas,
District of Columbia,
Delaware,
Maine,
Montana,
North Dakota,
Nebraska,
New Mexico,
Oregon,
Rhode Island,
South Dakota,
West Virginia,
Wyoming,
