Category: All categories

Region,Avoidant personality disorder: (2009)
Alaska,
Wyoming,
Maine,100
Iowa,91
Hawaii,
Mississippi,83
Alabama,75
Connecticut,75
Indiana,62
Utah,62
Washington,56
Idaho,
Minnesota,51
Oregon,48
Missouri,48
Illinois,48
Oklahoma,45
Arizona,45
Pennsylvania,45
New York,45
New Jersey,43
District of Columbia,43
Wisconsin,43
Massachusetts,43
Florida,43
Tennessee,43
Colorado,40
Georgia,40
New Hampshire,40
Kansas,37
Ohio,37
Michigan,37
Louisiana,35
Texas,35
Maryland,32
Arkansas,29
Virginia,27
California,27
North Carolina,18
Delaware,
Kentucky,
Montana,
North Dakota,
Nebraska,
New Mexico,
Nevada,
Rhode Island,
South Carolina,
South Dakota,
Vermont,
West Virginia,
