Category: All categories

Region,Avoidant personality disorder: (2021)
Vermont,
Wyoming,
District of Columbia,100
Maine,95
Washington,95
Utah,91
Minnesota,86
North Dakota,
Kansas,82
Iowa,82
Alaska,
New Hampshire,78
Oklahoma,73
Idaho,
South Carolina,73
Wisconsin,69
Rhode Island,
Oregon,69
Maryland,69
Michigan,69
Pennsylvania,69
New Mexico,69
Virginia,69
Nevada,69
Indiana,69
Kentucky,69
Colorado,65
Ohio,65
Tennessee,65
Missouri,65
Delaware,
New York,60
Illinois,60
Arizona,60
Massachusetts,60
Louisiana,60
North Carolina,60
California,60
Nebraska,56
Connecticut,56
Texas,56
Mississippi,56
Florida,56
New Jersey,52
Alabama,52
Arkansas,47
Georgia,47
Montana,
South Dakota,
West Virginia,26
Hawaii,
