Category: All categories

Region,Avoidant personality disorder: (2018)
Maine,100
South Dakota,
Kansas,75
Montana,
Utah,61
Rhode Island,
North Dakota,
Wisconsin,50
Tennessee,47
Alabama,44
Michigan,44
Maryland,44
Minnesota,44
Washington,44
Massachusetts,44
West Virginia,41
Arkansas,41
Indiana,41
Missouri,41
Wyoming,
Oregon,41
Nevada,38
New Jersey,38
Mississippi,38
Illinois,38
New Mexico,38
Virginia,38
North Carolina,38
Iowa,38
Connecticut,36
Oklahoma,36
Pennsylvania,36
Kentucky,36
Arizona,36
New York,36
Colorado,36
Idaho,
Ohio,33
Georgia,33
California,33
Florida,33
District of Columbia,33
Nebraska,30
Vermont,
Texas,30
Louisiana,30
Delaware,
South Carolina,27
Alaska,
Hawaii,
New Hampshire,
