Category: All categories

Region,Avoidant personality disorder: (2005)
North Dakota,
South Dakota,
Hawaii,
Nebraska,100
Louisiana,62
Connecticut,53
Kentucky,45
Kansas,43
Georgia,39
Virginia,37
Colorado,34
Oregon,32
New York,29
Massachusetts,29
Arizona,28
Washington,26
Florida,25
California,23
Minnesota,21
Pennsylvania,21
New Jersey,21
Texas,21
Maryland,20
Illinois,20
Ohio,14
Wisconsin,14
North Carolina,9
Alaska,
Alabama,
Arkansas,
District of Columbia,
Delaware,
Iowa,
Idaho,
Indiana,
Maine,
Michigan,
Missouri,
Mississippi,
Montana,
New Hampshire,
New Mexico,
Nevada,
Oklahoma,
Rhode Island,
South Carolina,
Tennessee,
Utah,
Vermont,
West Virginia,
Wyoming,
