Category: All categories

Region,Obsessive compulsive personality: (2007)
Nevada,
Nebraska,
Maryland,100
Pennsylvania,82
Ohio,76
Wisconsin,
Michigan,70
Massachusetts,64
Louisiana,
Colorado,64
Washington,58
New Jersey,58
Texas,52
South Carolina,
Kansas,
Minnesota,
Kentucky,
Virginia,52
Indiana,
District of Columbia,
Tennessee,
Arizona,
Oregon,
North Carolina,41
California,35
New York,35
Connecticut,
Georgia,23
Florida,17
Illinois,11
Alaska,
Alabama,
Arkansas,
Delaware,
Hawaii,
Iowa,
Idaho,
Maine,
Missouri,
Mississippi,
Montana,
North Dakota,
New Hampshire,
New Mexico,
Oklahoma,
Rhode Island,
South Dakota,
Utah,
Vermont,
West Virginia,
Wyoming,
