Category: All categories

Region,Obsessive compulsive personality: (2013)
Delaware,
Idaho,
Kansas,
Vermont,
Maine,
Alabama,
New Hampshire,
South Carolina,
South Dakota,
West Virginia,
Massachusetts,100
Wisconsin,
North Carolina,90
Rhode Island,
Missouri,
Connecticut,
North Dakota,
Pennsylvania,81
Minnesota,
Utah,
Virginia,72
New York,72
Ohio,72
Georgia,72
District of Columbia,
Iowa,
Michigan,63
New Jersey,63
Oregon,
Louisiana,
California,54
Oklahoma,
Arizona,
Florida,54
Tennessee,
Kentucky,
Texas,54
Indiana,
Arkansas,
Washington,45
Nevada,
Mississippi,
Illinois,45
Maryland,45
Colorado,27
Hawaii,
Alaska,
Montana,
Nebraska,
New Mexico,
Wyoming,
