Category: All categories

Region,Obsessive compulsive personality: (2010)
Mississippi,
New Mexico,
Alabama,
Arizona,
Maine,
Pennsylvania,100
Maryland,94
Minnesota,
Colorado,88
Ohio,88
Wisconsin,
Nevada,
District of Columbia,
Nebraska,
Utah,
Oklahoma,
Indiana,
Tennessee,
Florida,76
Kansas,
Texas,76
North Carolina,76
Illinois,70
Kentucky,
Missouri,
South Carolina,
Oregon,
Massachusetts,52
Georgia,47
Michigan,47
New Jersey,47
Louisiana,
New York,35
Virginia,35
California,35
Washington,35
Connecticut,
Alaska,
Arkansas,
Delaware,
Hawaii,
Iowa,
Idaho,
Montana,
North Dakota,
New Hampshire,
Rhode Island,
South Dakota,
Vermont,
West Virginia,
Wyoming,
