Category: All categories

Region,Bullying: (2019)
Hawaii,100
South Dakota,94
Iowa,93
Vermont,92
Arkansas,91
New Jersey,90
Connecticut,88
Rhode Island,88
West Virginia,88
Mississippi,88
Delaware,87
Maine,83
South Carolina,81
North Dakota,80
Kansas,80
California,79
Illinois,78
New Hampshire,78
Virginia,78
Nebraska,77
Indiana,75
Maryland,75
Wisconsin,74
New York,73
Louisiana,72
Ohio,72
Kentucky,72
North Carolina,72
New Mexico,72
Texas,71
Nevada,71
Alaska,71
Alabama,70
Georgia,70
Missouri,69
Massachusetts,67
Montana,67
Pennsylvania,67
Wyoming,66
Minnesota,65
District of Columbia,64
Utah,64
Michigan,63
Florida,63
Tennessee,63
Idaho,63
Oklahoma,62
Arizona,61
Oregon,60
Colorado,57
Washington,51
