Category: All categories

Region,Bullying: (2016)
Iowa,100
Rhode Island,94
New Jersey,92
Wyoming,91
South Dakota,90
Mississippi,90
Delaware,87
Arkansas,87
Maine,86
Idaho,82
Hawaii,82
Connecticut,81
West Virginia,81
Nebraska,79
Nevada,77
Wisconsin,77
North Dakota,76
Indiana,76
New York,76
Vermont,74
New Hampshire,74
Texas,74
Kansas,74
South Carolina,72
Ohio,71
Alabama,70
Michigan,70
Illinois,69
New Mexico,69
California,68
Missouri,68
North Carolina,67
Kentucky,66
Louisiana,66
Pennsylvania,65
Maryland,65
Montana,65
Oklahoma,63
Minnesota,63
Alaska,62
Georgia,60
Utah,59
Florida,58
Virginia,58
Colorado,57
Arizona,56
Massachusetts,55
Oregon,55
Tennessee,53
Washington,51
District of Columbia,48
