Category: All categories

Region,Bullying: (2009)
Iowa,100
South Dakota,94
West Virginia,91
Kentucky,89
Nebraska,82
Delaware,81
North Dakota,79
Wyoming,78
Indiana,76
Rhode Island,75
Pennsylvania,73
New Hampshire,73
Montana,71
Hawaii,71
New Mexico,70
Kansas,69
Arkansas,69
Maine,65
Michigan,63
Connecticut,63
Ohio,60
Idaho,59
Vermont,59
Wisconsin,59
New Jersey,57
South Carolina,57
Illinois,55
Mississippi,52
Missouri,52
Maryland,51
Tennessee,50
New York,48
Georgia,48
Minnesota,48
Oklahoma,46
Alabama,46
Massachusetts,46
Nevada,45
District of Columbia,45
North Carolina,45
Florida,43
Washington,42
Oregon,42
Louisiana,40
Virginia,39
Arizona,38
Texas,37
Colorado,36
Utah,32
California,30
Alaska,22
