Category: All categories

Region,exboyfriend: (2012)
Michigan,100
Kansas,
New York,88
South Carolina,88
Illinois,83
District of Columbia,83
Louisiana,83
Virginia,77
Florida,77
Kentucky,
Georgia,77
California,72
Texas,72
New Jersey,66
Maryland,66
Nevada,66
Arizona,61
North Carolina,61
South Dakota,
Massachusetts,61
Tennessee,55
Washington,55
North Dakota,
Iowa,55
West Virginia,
Idaho,
Missouri,50
Ohio,50
Indiana,50
Hawaii,
Nebraska,
Wisconsin,44
Colorado,44
New Mexico,
Arkansas,
New Hampshire,
Oklahoma,38
Minnesota,38
Pennsylvania,33
Alabama,33
Connecticut,27
Mississippi,
Maine,
Oregon,11
Alaska,
Delaware,
Montana,
Rhode Island,
Utah,
Vermont,
Wyoming,
