Category: All categories

Region,exboyfriend: (2011)
Montana,
Wyoming,
Rhode Island,
Vermont,
West Virginia,
New York,100
North Dakota,
Georgia,90
Nebraska,
New Jersey,85
Florida,85
New Hampshire,
South Carolina,85
Oklahoma,80
South Dakota,
Hawaii,
Mississippi,
Texas,75
Illinois,75
Missouri,75
California,75
Alabama,75
Michigan,70
Alaska,
New Mexico,
District of Columbia,70
Wisconsin,70
Virginia,65
Louisiana,65
Indiana,65
Pennsylvania,65
Connecticut,60
Nevada,60
Ohio,55
Massachusetts,55
Colorado,55
Maryland,55
North Carolina,55
Minnesota,50
Arizona,50
Iowa,50
Washington,45
Tennessee,45
Oregon,45
Maine,
Utah,
Kentucky,
Arkansas,
Delaware,
Idaho,
Kansas,
