Category: All categories

Region,exboyfriend: (2008)
West Virginia,
Mississippi,
Nebraska,
Kansas,
New Hampshire,
Wisconsin,100
Oregon,94
Illinois,89
Connecticut,84
Maryland,84
New Mexico,
Maine,
Texas,78
Massachusetts,73
North Carolina,73
Arkansas,
Florida,68
Oklahoma,68
New York,63
District of Columbia,63
Pennsylvania,57
Michigan,57
New Jersey,57
Ohio,52
Missouri,52
California,52
Arizona,47
Indiana,47
Minnesota,47
Washington,42
Virginia,42
Tennessee,36
Georgia,36
South Carolina,31
Colorado,26
Alaska,
Alabama,
Delaware,
Hawaii,
Iowa,
Idaho,
Kentucky,
Louisiana,
Montana,
North Dakota,
Nevada,
Rhode Island,
South Dakota,
Utah,
Vermont,
Wyoming,
