Category: All categories

Region,anorexia: (2020)
Vermont,100
New Hampshire,89
Utah,76
Connecticut,76
Idaho,75
West Virginia,74
Wyoming,74
Massachusetts,72
Indiana,72
North Dakota,72
Nebraska,72
South Dakota,71
Minnesota,71
Oregon,70
Rhode Island,70
New York,70
Arkansas,70
Wisconsin,69
Maine,69
Iowa,69
Nevada,68
California,68
Maryland,68
Arizona,67
Washington,67
Florida,67
Kansas,66
Mississippi,66
Missouri,66
New Mexico,65
Alaska,65
Delaware,65
Colorado,65
Kentucky,64
Oklahoma,63
Pennsylvania,62
Illinois,62
Montana,62
Texas,61
New Jersey,61
Ohio,60
Virginia,59
Michigan,58
South Carolina,58
Tennessee,58
Hawaii,57
Alabama,56
North Carolina,55
Louisiana,55
District of Columbia,54
Georgia,51
