Category: All categories

Region,anorexia: (2019)
Vermont,100
Maine,90
South Dakota,79
New Hampshire,75
Idaho,72
Rhode Island,72
Indiana,72
Oregon,71
Arkansas,70
Minnesota,68
Iowa,67
Massachusetts,66
Utah,66
Connecticut,66
California,66
North Dakota,65
Kansas,64
Missouri,63
Wisconsin,63
West Virginia,63
Nebraska,63
Kentucky,63
Mississippi,62
New Mexico,61
New York,61
Maryland,61
Washington,61
Colorado,59
Oklahoma,59
Pennsylvania,58
Virginia,57
Alaska,57
District of Columbia,57
New Jersey,57
Nevada,57
Alabama,56
Montana,56
Arizona,55
Illinois,55
Ohio,54
North Carolina,54
Michigan,54
Delaware,54
Texas,53
Wyoming,52
South Carolina,52
Tennessee,51
Florida,50
Hawaii,50
Georgia,46
Louisiana,46
