Category: All categories

Region,anorexia: (2016)
Vermont,100
Maine,97
New Hampshire,86
Oregon,82
Idaho,79
North Dakota,78
Minnesota,78
Rhode Island,77
Iowa,77
Indiana,76
Nebraska,76
New Mexico,76
Arkansas,74
Connecticut,73
Wisconsin,72
Montana,72
New York,70
Alaska,70
Utah,70
Kentucky,69
Massachusetts,69
Arizona,69
Missouri,68
Maryland,68
South Dakota,68
Oklahoma,68
Colorado,67
Mississippi,67
Kansas,67
Wyoming,67
New Jersey,65
Virginia,65
Washington,64
Michigan,64
Pennsylvania,64
California,64
Delaware,63
Ohio,63
West Virginia,63
Alabama,62
South Carolina,61
Louisiana,59
North Carolina,59
Texas,59
Tennessee,58
Florida,58
Nevada,58
Illinois,57
Georgia,52
Hawaii,51
District of Columbia,50
