Category: All categories

Region,anorexia: (2005)
Maine,100
Montana,94
Idaho,93
Wyoming,88
Kentucky,82
Arkansas,80
South Dakota,79
Mississippi,77
Vermont,76
Minnesota,76
New Hampshire,75
Utah,74
Indiana,72
Iowa,72
Michigan,71
Nebraska,70
North Dakota,66
Alabama,66
Wisconsin,65
Oklahoma,65
Ohio,64
Rhode Island,63
Hawaii,62
Pennsylvania,62
Connecticut,61
New Mexico,61
Missouri,59
Oregon,57
Washington,56
Kansas,56
West Virginia,56
New York,56
Massachusetts,56
Illinois,55
Arizona,54
New Jersey,51
Alaska,51
Colorado,51
North Carolina,51
Tennessee,50
Maryland,50
Texas,46
Florida,46
Georgia,46
Virginia,44
Louisiana,43
Nevada,42
California,41
South Carolina,41
Delaware,38
District of Columbia,37
