Category: All categories

Region,feeling alone: (2007)
West Virginia,100
Arkansas,33
New Mexico,29
North Carolina,20
Louisiana,19
Michigan,16
Wisconsin,16
Tennessee,15
South Carolina,15
Arizona,15
Massachusetts,14
Connecticut,14
Georgia,13
Virginia,13
Oklahoma,12
New Jersey,12
Florida,11
Texas,11
Indiana,10
Missouri,9
California,8
New York,8
Oregon,8
Kentucky,7
Maryland,7
Illinois,6
Pennsylvania,5
Delaware,
Maine,
Alaska,
Idaho,
Mississippi,
New Hampshire,
Nevada,
Nebraska,
Ohio,
North Dakota,
Montana,
Minnesota,
Rhode Island,
Kansas,
South Dakota,
Iowa,
Hawaii,
Utah,
District of Columbia,
Vermont,
Washington,
Colorado,
Alabama,
Wyoming,
