Category: All categories

Region,feeling alone: (2017)
Kentucky,100
New Mexico,94
West Virginia,91
Oklahoma,89
Indiana,89
Nebraska,87
Pennsylvania,85
Arkansas,84
Kansas,84
Nevada,82
South Carolina,80
Ohio,79
Utah,78
Louisiana,77
Michigan,77
Missouri,77
Tennessee,77
New Jersey,76
Mississippi,75
Colorado,75
Iowa,74
Texas,72
Arizona,72
Florida,72
Alabama,71
Minnesota,70
Maryland,69
Illinois,68
Connecticut,68
Massachusetts,68
Wisconsin,66
Virginia,65
California,63
North Carolina,62
New York,61
Georgia,59
Oregon,59
Washington,55
Maine,
North Dakota,
South Dakota,
Delaware,
Idaho,
Rhode Island,
Vermont,
Wyoming,
District of Columbia,
New Hampshire,
Montana,
Hawaii,
Alaska,
