Category: All categories

Region,feeling alone: (2020)
Mississippi,100
New Mexico,94
West Virginia,93
Utah,86
Indiana,86
Oklahoma,85
Alabama,82
Missouri,82
Pennsylvania,82
Arizona,80
Arkansas,80
Tennessee,77
Kentucky,76
South Carolina,74
Nevada,74
Michigan,74
Massachusetts,71
Wisconsin,69
California,69
Colorado,67
Maryland,67
Texas,67
Connecticut,66
New Jersey,66
Virginia,66
Georgia,66
Iowa,65
Ohio,65
Illinois,62
North Carolina,62
Nebraska,62
Florida,61
New York,61
Washington,59
Kansas,56
Oregon,53
Minnesota,52
Louisiana,50
Alaska,
South Dakota,
New Hampshire,
Vermont,
Rhode Island,
District of Columbia,
Maine,
Delaware,
Montana,
Hawaii,
Idaho,
Wyoming,
North Dakota,
