Category: All categories

Region,homophobia: (2011)
Vermont,100
South Dakota,94
North Dakota,82
Oregon,75
Pennsylvania,67
Maine,66
Massachusetts,66
Rhode Island,64
Minnesota,60
New Hampshire,60
Indiana,60
Louisiana,60
Wisconsin,58
Virginia,58
New Mexico,57
Washington,57
North Carolina,57
Nevada,57
West Virginia,57
Kansas,55
New York,55
Maryland,55
Hawaii,53
Connecticut,53
California,53
Nebraska,51
Iowa,51
District of Columbia,51
Colorado,51
Montana,51
New Jersey,50
Ohio,50
Utah,48
Michigan,48
Illinois,46
Idaho,46
Alaska,44
South Carolina,44
Kentucky,44
Georgia,42
Delaware,42
Missouri,42
Florida,41
Tennessee,39
Mississippi,39
Alabama,37
Oklahoma,37
Texas,37
Arizona,30
Arkansas,19
Wyoming,
