Category: All categories

Region,homophobia: (2008)
West Virginia,100
New Hampshire,63
Vermont,40
Oregon,37
Kentucky,33
Arkansas,30
Delaware,28
Iowa,27
Massachusetts,26
New York,26
Maryland,25
Michigan,24
New Mexico,24
District of Columbia,23
Illinois,22
Louisiana,21
Wisconsin,19
Pennsylvania,19
California,18
Minnesota,17
Indiana,16
Missouri,16
Washington,16
Oklahoma,16
New Jersey,16
Connecticut,15
Virginia,15
Arizona,15
North Carolina,14
Kansas,14
Ohio,14
Florida,14
Texas,14
Hawaii,13
Tennessee,12
Rhode Island,11
Georgia,10
Nevada,10
South Carolina,10
Colorado,9
Alabama,8
Utah,7
Alaska,
Idaho,
Maine,
Mississippi,
Montana,
North Dakota,
Nebraska,
South Dakota,
Wyoming,
