Category: All categories

Region,homophobia: (2013)
Vermont,100
Wyoming,
Alaska,80
Montana,78
District of Columbia,75
Rhode Island,73
Arkansas,73
Massachusetts,71
Nebraska,70
Kansas,66
West Virginia,66
Connecticut,66
New York,64
North Dakota,63
Delaware,63
South Carolina,63
Michigan,63
Indiana,61
Iowa,61
Washington,61
New Jersey,59
California,59
New Mexico,57
Maryland,57
Ohio,57
Idaho,56
Kentucky,56
South Dakota,56
Pennsylvania,56
New Hampshire,56
Wisconsin,54
Virginia,54
Illinois,52
Minnesota,52
North Carolina,52
Maine,52
Arizona,49
Florida,49
Mississippi,49
Tennessee,49
Nevada,49
Oregon,47
Georgia,47
Colorado,45
Louisiana,45
Hawaii,45
Texas,43
Missouri,40
Utah,40
Alabama,38
Oklahoma,33
