Category: All categories

Region,Borderline personality: (2007)
North Dakota,100
Indiana,93
Utah,90
Alaska,90
New Hampshire,86
Nebraska,85
Rhode Island,83
North Carolina,81
South Dakota,81
Montana,80
Pennsylvania,79
Massachusetts,79
Missouri,78
Oregon,77
Ohio,77
Mississippi,76
Washington,76
Michigan,75
Iowa,75
Minnesota,75
Alabama,73
New York,72
Connecticut,72
New Mexico,69
Virginia,69
Colorado,68
Maine,68
South Carolina,67
Idaho,67
Maryland,64
Hawaii,63
Vermont,63
Oklahoma,63
New Jersey,62
Delaware,61
Arkansas,61
Wisconsin,61
Louisiana,60
Illinois,60
Kentucky,59
District of Columbia,59
Arizona,58
California,57
Texas,57
Kansas,56
Wyoming,56
Georgia,54
Tennessee,53
Florida,51
Nevada,43
West Virginia,19
