Category: All categories

Region,Borderline personality: (2014)
New Hampshire,100
Idaho,98
Maine,94
Wyoming,93
Utah,91
New Mexico,89
South Dakota,89
Minnesota,89
Massachusetts,86
Vermont,85
Arkansas,84
Colorado,82
Indiana,78
North Dakota,77
Alaska,76
Connecticut,75
Delaware,75
Washington,75
Rhode Island,74
Michigan,74
Iowa,74
Nebraska,73
Ohio,72
Missouri,71
New York,71
Pennsylvania,71
Wisconsin,70
Kentucky,70
South Carolina,68
New Jersey,67
Tennessee,67
Mississippi,67
Maryland,67
Nevada,66
North Carolina,66
Kansas,66
Hawaii,65
West Virginia,65
California,64
Arizona,64
Oklahoma,64
Alabama,63
District of Columbia,63
Illinois,61
Montana,61
Louisiana,58
Florida,51
Georgia,50
Virginia,49
Texas,48
Oregon,48
