Category: All categories

Region,Borderline personality: (2016)
Maine,100
New Hampshire,99
Vermont,94
Utah,87
Rhode Island,86
Minnesota,77
Alaska,76
Montana,74
Connecticut,73
Arkansas,73
Oregon,72
Iowa,72
Idaho,72
Indiana,72
Washington,70
New York,70
Oklahoma,69
South Dakota,69
Massachusetts,69
North Dakota,68
Colorado,68
Kansas,68
Arizona,67
West Virginia,66
Missouri,64
Kentucky,62
Virginia,61
Maryland,61
New Mexico,60
Pennsylvania,60
New Jersey,60
Michigan,59
Ohio,59
Tennessee,57
Wyoming,57
Wisconsin,56
South Carolina,55
Mississippi,55
North Carolina,55
Delaware,55
District of Columbia,53
Alabama,52
Illinois,52
California,51
Nevada,50
Louisiana,47
Georgia,45
Nebraska,45
Hawaii,44
Florida,43
Texas,41
