Category: All categories

Region,Borderline personality: (2021)
Vermont,100
Maine,92
New Hampshire,90
Utah,90
Idaho,82
Oregon,80
Wyoming,74
Minnesota,74
Colorado,73
Connecticut,73
Missouri,73
North Dakota,73
Rhode Island,72
Kansas,72
Alaska,69
Montana,69
Iowa,68
Massachusetts,67
Oklahoma,67
West Virginia,67
Indiana,66
Michigan,65
South Dakota,65
Washington,64
Wisconsin,64
Kentucky,63
Arizona,62
Arkansas,62
Nebraska,59
South Carolina,58
New York,58
Virginia,58
Pennsylvania,58
New Mexico,57
Ohio,57
Mississippi,56
Maryland,56
Tennessee,55
District of Columbia,55
Delaware,54
California,54
Illinois,54
Louisiana,54
Florida,51
Nevada,50
North Carolina,50
New Jersey,50
Alabama,49
Hawaii,48
Texas,47
Georgia,45
